Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,BaeticanPottery,GallicPottery,AdriaticPottery,IberianPottery,EMPottery,EgyptianPottery,ItalianPottery,NAPottery,WMPottery,TarrPottery,AegeanPottery
1,Adria,aggressive_trade,False,1.4699999999996147,0.7,1.5,1.6,0.4,2.2,2.0,0.7,1.9,3.2,3.5,2.1
2,Adria,random_trade,False,1.1799999999999353,0.4,1.5,1.8,0.1,0.9,1.2,1.8,1.8,1.1,1.2,1.0
3,Adria,random_trade,False,3.170000000000024,1.2,1.6,1.2,0.4,1.3,1.5,0.8,1.7,1.5,0.9,2.1
4,Adria,conservative_trade,False,1.4499999999999944,1.4,1.4,1.0,1.1,1.3,1.6,1.3,0.6,1.0,0.8,0.5
5,Adria,aggressive_trade,False,2.359999999999867,1.3,1.7,1.8,1.1,2.0,1.9,0.8,2.7,1.6,2.5,2.0
6,Adria,random_trade,False,1.1100000000000136,0.6,1.5,1.7,0.7,1.7,1.4,1.0,1.5,1.2,2.1,1.1
7,Adria,aggressive_trade,False,1.809999999999627,0.4,2.1,2.4,0.2,2.4,3.4,0.5,1.9,2.0,3.8,2.2
8,Adria,random_trade,False,1.5000000000000333,0.4,1.8,1.0,0.9,1.4,1.3,1.1,1.3,1.5,2.0,0.9
9,Adria,aggressive_trade,False,1.260000000000057,0.3,3.4,2.5,0.7,2.1,2.2,0.7,1.8,3.3,3.5,3.2
10,Adria,random_trade,False,1.8400000000000325,0.8,1.8,2.5,0.6,1.3,1.1,0.7,2.0,1.6,0.9,1.2
11,Private,random_trade,False,1.8699999999999677,1.2,2.4,1.5,1.0,1.1,1.5,1.6,1.6,1.2,2.4,1.8
12,Aegean,conservative_trade,False,2.5960000000000134,0.9,0.9,0.6,0.6,0.9,1.1,1.8,0.8,2.0,0.5,1.0
13,Aegean,conservative_trade,False,3.021249999999985,1.1,0.9,1.1,0.8,1.9,1.0,1.1,0.5,1.1,1.2,1.3
14,Aegean,conservative_trade,False,2.0489999999999635,1.0,0.7,0.3,1.3,1.3,0.7,1.4,1.6,1.0,1.1,0.9
15,Aegean,conservative_trade,False,3.1540000000000794,1.2,0.8,1.8,1.3,0.8,1.3,0.9,0.7,0.6,1.2,1.1
16,Aegean,random_trade,False,1.7697499999999906,0.8,1.6,0.9,0.9,2.0,1.0,0.8,1.8,1.1,1.2,1.8
17,Aegean,conservative_trade,False,2.4862500000000143,1.3,0.6,1.4,1.6,1.2,0.6,1.5,1.4,0.3,1.2,0.7
18,Aegean,aggressive_trade,False,1.689249999999776,1.1,3.2,3.1,0.5,2.5,2.9,1.0,3.1,1.7,4.2,1.7
19,Aegean,aggressive_trade,False,2.759499999999751,0.2,3.2,2.7,0.4,2.0,2.6,0.6,3.0,2.7,3.7,2.9
20,Aegean,random_trade,False,2.4792500000000097,1.0,1.2,1.8,0.6,1.6,1.7,1.3,1.5,0.9,2.0,1.4
21,Aegean,conservative_trade,False,1.1567500000000543,1.1,0.9,0.6,0.8,0.9,0.8,1.3,1.1,1.2,1.3,1.1
22,Private,conservative_trade,False,2.5565000000000353,1.5,1.0,1.0,1.6,0.8,1.0,1.3,1.1,0.8,1.1,1.0
23,Baetica,conservative_trade,False,1.2070000000000132,1.0,0.8,0.8,0.9,0.9,1.0,0.8,0.9,1.2,1.5,1.6
24,Baetica,random_trade,False,1.297249999999902,0.6,1.6,1.6,1.0,2.2,1.1,0.6,1.4,1.7,1.5,1.6
25,Baetica,conservative_trade,False,1.9499999999999627,1.0,0.7,0.9,1.5,0.8,0.9,1.1,1.0,1.5,1.2,1.2
26,Baetica,aggressive_trade,False,1.9410000000001066,1.1,2.7,2.5,1.3,3.3,1.6,0.5,2.3,2.4,3.4,2.2
27,Baetica,aggressive_trade,False,1.761999999999872,1.0,3.1,3.2,1.0,2.3,3.0,0.7,2.2,2.2,4.7,1.0
28,Baetica,aggressive_trade,False,2.105750000000065,0.6,2.8,2.6,0.7,3.2,3.0,0.5,2.5,1.8,3.8,3.0
29,Baetica,conservative_trade,False,2.120499999999988,0.5,1.6,1.4,1.1,1.0,0.5,1.0,0.6,1.3,0.5,1.5
30,Baetica,random_trade,False,3.057499999999925,1.4,1.5,0.8,1.1,1.5,1.3,0.8,1.8,1.5,2.7,1.6
31,Baetica,aggressive_trade,False,3.1577499999999916,1.1,2.0,3.0,0.4,2.4,3.4,0.8,3.8,2.5,4.8,2.3
32,Baetica,aggressive_trade,False,1.1642500000001086,0.1,3.8,3.3,0.8,2.3,3.3,0.8,3.0,3.6,3.7,2.4
33,Private,aggressive_trade,False,2.672750000000325,0.9,3.3,3.4,0.7,2.4,3.7,1.2,2.6,2.1,3.5,3.0
34,Eastern Mediterranean,aggressive_trade,False,4.164750000000247,0.6,3.9,4.4,0.7,3.4,3.6,0.4,3.5,3.5,3.6,2.8
35,Eastern Mediterranean,conservative_trade,False,2.3189999999999875,1.7,0.8,1.5,1.0,1.4,1.2,1.0,0.9,1.1,0.7,1.0
36,Eastern Mediterranean,aggressive_trade,False,1.766499999999781,0.5,3.7,4.1,0.8,1.4,4.5,0.6,2.8,3.2,5.3,3.3
37,Eastern Mediterranean,conservative_trade,False,2.3120000000000127,0.9,0.8,1.0,1.1,1.5,1.4,1.0,0.7,1.2,0.8,1.1
38,Eastern Mediterranean,conservative_trade,False,1.6087499999999983,1.2,0.9,1.4,1.1,0.6,1.1,1.5,1.0,1.2,0.8,0.6
39,Eastern Mediterranean,conservative_trade,False,0.9109999999999975,2.0,0.4,0.8,1.1,1.4,0.7,1.3,1.0,1.6,1.0,1.3
40,Eastern Mediterranean,random_trade,False,1.3354999999999624,1.2,2.0,1.9,0.8,1.4,1.7,1.1,0.8,1.0,2.0,0.5
41,Eastern Mediterranean,aggressive_trade,False,1.2947500000000367,1.5,2.8,5.2,0.7,3.0,4.0,0.9,3.1,2.6,3.5,3.1
42,Eastern Mediterranean,conservative_trade,False,1.8324999999999918,1.0,1.3,0.6,1.7,0.9,1.0,0.7,1.3,1.2,0.9,1.0
43,Eastern Mediterranean,random_trade,False,2.305999999999938,0.9,1.6,1.4,0.8,2.2,1.6,0.8,1.1,1.6,2.1,1.1
44,Private,random_trade,False,1.6229999999999811,0.9,2.6,1.9,1.2,1.1,1.9,1.0,1.5,0.9,2.0,1.5
45,Egypt,aggressive_trade,False,1.4742499999999699,1.1,4.8,2.3,0.4,3.5,3.3,1.2,3.4,3.2,3.4,2.2
46,Egypt,random_trade,False,1.3682500000000157,0.7,1.3,1.7,1.5,1.8,2.0,1.2,1.9,1.4,1.0,1.7
47,Egypt,aggressive_trade,False,2.089499999999866,0.7,4.3,4.1,0.8,2.1,3.2,0.7,2.8,3.2,5.2,3.1
48,Egypt,random_trade,False,1.4252500000000086,1.4,0.9,2.3,1.3,0.7,2.0,0.8,1.3,1.8,1.6,1.4
49,Egypt,conservative_trade,False,3.02324999999998,1.5,1.0,1.3,1.3,0.8,0.7,1.7,1.0,1.1,0.6,1.3
50,Egypt,conservative_trade,False,3.8405,0.9,0.6,1.1,1.1,1.6,0.8,1.3,1.2,1.5,0.8,1.6
51,Egypt,conservative_trade,False,2.4254999999999733,1.6,0.8,1.5,1.5,1.1,0.9,0.8,1.0,0.7,1.6,0.6
52,Egypt,conservative_trade,False,1.6424999999999887,1.3,1.0,1.1,0.6,0.7,1.2,1.6,1.0,1.3,1.2,1.1
53,Egypt,aggressive_trade,False,3.376500000000098,0.7,3.2,2.8,1.2,2.7,3.2,1.4,2.4,3.5,3.7,3.9
54,Egypt,random_trade,False,1.1022499999999804,0.3,0.8,2.1,1.0,1.3,1.3,1.2,1.5,1.3,2.4,1.8
55,Private,random_trade,False,1.3435000000000377,0.6,2.7,1.1,1.3,2.4,2.5,1.1,1.3,1.1,1.6,1.4
56,Gallia,conservative_trade,False,1.8154999999999952,0.9,1.4,1.1,1.1,1.3,0.9,1.1,1.0,1.4,1.0,0.8
57,Gallia,conservative_trade,False,2.181000000000003,1.8,1.0,1.2,1.0,0.8,1.2,0.8,1.1,1.0,0.9,1.2
58,Gallia,conservative_trade,False,1.6167499999999895,1.5,0.8,1.0,1.7,1.3,1.4,0.7,0.5,0.7,0.9,1.3
59,Gallia,conservative_trade,False,1.9094999999999906,2.0,0.8,0.9,0.9,0.9,1.6,1.2,1.1,1.2,0.7,1.5
60,Gallia,aggressive_trade,False,2.2235000000000893,1.1,3.8,3.1,0.6,2.7,4.1,1.3,3.9,2.9,6.4,3.2
61,Gallia,conservative_trade,False,1.8290000000000255,0.9,1.2,1.4,1.7,1.3,0.5,1.6,0.4,1.2,0.6,1.3
62,Gallia,conservative_trade,False,4.371499999999989,0.8,0.9,1.4,1.2,1.3,0.8,1.6,1.3,1.0,1.2,1.2
63,Gallia,random_trade,False,1.507749999999992,1.0,1.6,2.8,0.9,1.1,2.0,0.8,1.1,1.6,1.4,1.1
64,Gallia,aggressive_trade,False,2.635999999999978,0.7,5.5,4.9,0.9,2.4,5.2,0.3,1.9,2.2,5.8,1.8
65,Gallia,conservative_trade,False,1.3627499999999846,1.4,0.8,1.2,0.7,0.7,1.5,1.8,1.0,1.0,1.0,1.0
66,Private,conservative_trade,False,1.6814999999999614,0.9,1.3,1.9,1.3,0.8,1.2,1.7,1.3,0.9,0.5,1.5
67,Iberian Peninsula,random_trade,False,3.157750000000014,1.0,1.6,1.9,0.4,2.0,1.6,0.5,1.3,2.3,1.5,1.6
68,Iberian Peninsula,random_trade,False,1.9957499999999393,0.6,1.8,1.4,1.1,1.8,2.1,0.7,1.6,1.3,1.8,1.2
69,Iberian Peninsula,conservative_trade,False,2.513249999999986,1.0,1.4,1.5,0.8,0.6,0.8,1.3,1.1,1.2,1.0,0.9
70,Iberian Peninsula,aggressive_trade,False,2.639250000000044,0.6,4.1,5.5,0.7,3.1,4.2,0.6,3.3,2.4,3.4,2.9
71,Iberian Peninsula,aggressive_trade,False,3.36499999999986,0.8,4.7,5.2,0.6,2.9,4.4,1.1,3.1,3.3,5.5,2.4
72,Iberian Peninsula,random_trade,False,1.9274999999999696,1.4,1.9,1.6,0.6,1.3,1.7,1.0,1.5,1.2,1.4,1.8
73,Iberian Peninsula,conservative_trade,False,1.1132499999999879,1.0,0.9,1.4,1.6,0.9,1.2,0.7,1.6,0.8,1.1,1.0
74,Iberian Peninsula,random_trade,False,1.3264999999999652,1.1,2.4,1.9,0.7,1.6,1.6,0.7,1.5,1.6,2.2,1.0
75,Iberian Peninsula,random_trade,False,2.160499999999916,0.9,1.0,2.2,1.0,2.1,1.9,0.4,1.8,1.0,2.4,2.1
76,Iberian Peninsula,conservative_trade,False,1.7300000000000004,0.9,0.7,1.0,1.6,0.9,1.6,0.9,0.7,1.1,0.9,1.4
77,Private,conservative_trade,False,2.212749999999997,1.5,1.5,1.6,1.7,1.3,1.1,1.1,1.2,0.8,0.5,1.2
78,Italy,conservative_trade,False,1.1942500000000156,1.7,0.9,1.1,1.0,0.9,1.6,1.2,1.1,0.5,0.8,1.3
79,Italy,conservative_trade,False,1.6385000000000471,1.0,1.6,1.3,1.0,1.2,0.8,0.9,1.2,1.2,1.4,1.0
80,Italy,random_trade,False,3.116749999999935,0.8,1.7,1.7,0.7,1.7,1.4,0.8,1.6,2.6,1.6,1.7
81,Italy,aggressive_trade,False,1.5270000000000652,0.9,4.3,4.3,0.8,3.5,3.5,0.6,4.1,1.8,5.4,2.3
82,Italy,random_trade,False,1.792500000000023,0.7,2.3,1.8,1.0,1.0,2.1,0.7,1.6,1.2,1.7,2.2
83,Italy,random_trade,False,3.3709999999999773,1.1,2.0,1.3,1.5,2.0,2.0,0.6,1.5,2.0,2.2,1.3
84,Italy,aggressive_trade,False,1.7237500000000554,0.2,5.5,4.8,0.1,3.5,5.3,0.7,2.7,3.5,5.6,3.4
85,Italy,aggressive_trade,False,2.1634999999998414,0.8,5.4,5.4,0.6,3.7,4.9,0.2,4.2,3.4,4.2,3.5
86,Italy,conservative_trade,False,2.6935000000000513,1.1,1.2,1.2,0.9,0.8,2.1,0.2,1.5,0.9,1.4,1.0
87,Italy,conservative_trade,False,3.045500000000041,1.5,0.9,1.1,1.4,0.8,1.1,1.1,1.1,1.2,1.1,1.3
88,Private,conservative_trade,False,1.9302500000000997,1.4,1.3,1.2,1.4,1.4,1.7,1.1,1.4,1.3,1.2,0.5
89,North Africa,random_trade,False,2.344499999999973,1.0,0.9,2.3,0.8,1.4,1.8,0.6,1.2,1.7,1.6,2.0
90,North Africa,random_trade,False,3.070249999999979,0.8,2.7,1.8,1.1,1.3,1.3,0.9,1.2,1.7,2.0,2.1
91,North Africa,aggressive_trade,False,3.9635000000006975,0.8,6.6,8.2,0.3,1.7,6.9,0.2,2.7,1.8,6.0,2.3
92,North Africa,conservative_trade,False,2.909499999999999,1.6,1.3,1.0,1.7,0.9,1.6,0.9,0.4,1.0,1.0,1.3
93,North Africa,random_trade,False,1.8229999999999769,0.6,2.6,2.2,0.9,1.5,2.0,1.3,1.7,1.3,2.6,1.3
94,North Africa,random_trade,False,2.834999999999877,1.1,2.7,1.9,0.7,1.5,2.0,0.6,1.3,1.5,2.7,0.8
95,North Africa,conservative_trade,False,2.1364999999999674,1.6,1.5,1.0,1.3,0.5,0.9,1.0,0.7,0.8,1.8,0.7
96,North Africa,conservative_trade,False,3.02374999999999,1.0,1.4,1.2,0.9,0.6,1.1,1.7,0.9,1.0,0.9,1.1
97,North Africa,random_trade,False,2.5219999999998883,0.3,1.5,1.4,1.5,1.5,1.4,1.3,2.8,1.8,1.5,1.8
98,North Africa,random_trade,False,2.308749999999927,0.7,1.8,1.7,0.5,2.2,1.4,1.4,1.5,1.5,1.3,2.0
99,Private,random_trade,False,3.442499999999872,1.1,2.2,1.5,1.1,2.0,1.7,1.5,1.7,1.3,2.9,1.5
100,Tarraconensis,conservative_trade,False,2.0979999999999976,1.4,1.2,1.0,1.1,0.9,1.2,1.7,0.6,1.3,0.9,1.1
101,Tarraconensis,conservative_trade,False,3.045499999999969,1.3,1.1,1.4,0.9,1.2,1.4,1.6,1.2,1.0,1.0,1.1
102,Tarraconensis,random_trade,False,2.8722499999999496,1.1,1.1,1.4,0.9,1.7,2.3,0.8,0.8,2.9,1.0,1.1
103,Tarraconensis,conservative_trade,False,3.395500000000002,1.4,0.8,1.5,0.8,1.4,0.7,0.6,1.4,0.7,1.2,1.5
104,Tarraconensis,aggressive_trade,False,5.312250000000286,0.4,6.4,6.6,0.7,2.5,6.0,0.6,3.2,2.8,4.3,2.5
105,Tarraconensis,aggressive_trade,False,1.263750000000563,0.2,6.8,4.6,0.9,2.4,5.3,0.6,2.3,3.4,5.5,2.8
106,Tarraconensis,aggressive_trade,False,5.091500000000432,0.5,6.6,6.0,1.3,3.2,5.9,0.1,2.2,2.1,6.6,3.6
107,Tarraconensis,random_trade,False,4.428249999999911,0.7,2.3,3.0,0.3,1.6,2.2,0.5,1.6,1.9,2.0,1.2
108,Tarraconensis,random_trade,False,2.3105000000000038,1.1,1.6,1.7,1.3,1.3,1.8,1.5,2.1,1.3,2.1,1.4
109,Tarraconensis,random_trade,False,1.7292499999998867,1.3,1.5,1.8,1.4,1.3,1.4,0.4,1.8,1.8,2.9,1.8
110,Private,random_trade,False,3.0474999999999257,0.9,2.8,2.2,0.9,1.5,2.2,0.6,1.2,2.2,2.2,1.3
111,Western Mediterranean,conservative_trade,False,3.188499999999998,1.5,1.8,1.4,1.1,1.4,1.4,1.0,0.9,0.8,1.3,0.5
112,Western Mediterranean,conservative_trade,False,1.1527500000000395,0.9,1.8,1.0,1.1,1.0,0.5,1.3,0.8,1.4,1.3,1.3
113,Western Mediterranean,aggressive_trade,False,7.557000000000575,0.3,7.1,8.7,0.3,3.4,8.5,0.3,2.5,2.3,4.5,1.8
114,Western Mediterranean,aggressive_trade,False,1.7764999999999458,0.4,4.6,6.9,0.5,2.2,5.3,1.3,3.1,3.2,5.5,3.2
115,Western Mediterranean,aggressive_trade,False,4.476499999999761,0.6,9.3,8.0,0.8,2.2,7.9,0.3,2.4,2.9,4.9,2.5
116,Western Mediterranean,aggressive_trade,False,12.556999999999661,0.4,8.9,8.9,0.9,1.5,9.9,0.5,2.2,1.4,3.9,2.1
117,Western Mediterranean,random_trade,False,2.2939999999999126,0.9,1.7,1.3,1.2,1.4,2.9,1.1,2.4,0.9,2.4,1.4
118,Western Mediterranean,random_trade,False,1.9339999999999744,0.5,2.1,2.1,0.9,1.2,2.3,1.2,1.0,1.5,2.5,2.0
119,Western Mediterranean,aggressive_trade,False,5.2107500000001945,0.3,8.1,7.8,0.5,1.9,10.1,0.6,3.0,2.3,4.1,1.7
120,Western Mediterranean,conservative_trade,False,1.806999999999999,1.3,0.5,0.9,1.4,1.7,1.1,1.5,1.0,0.8,1.2,1.0
121,Private,conservative_trade,False,4.772250000000019,1.4,1.2,1.3,2.2,1.1,0.7,1.1,1.0,0.7,1.3,1.5
