Agent ID,Agent Class,Trade Behavior,Active,Total Wealth,GallicPottery,EgyptianPottery,IberianPottery,EMPottery,ItalianPottery,AegeanPottery,BaeticanPottery,AdriaticPottery,NAPottery,WMPottery,TarrPottery
1,Adria,random_trade,False,0.0,2.2,3.8,2.6,4.1,3.1,3.1,2.9,2.5,2.7,2.3,2.5
2,Adria,random_trade,False,0.0,2.0,2.5,2.7,3.6,3.4,2.6,2.3,2.1,3.1,2.7,3.2
3,Adria,random_trade,False,0.0,3.5,3.3,3.2,3.5,1.7,3.6,3.4,3.4,2.1,3.1,2.9
4,Adria,aggressive_trade,False,0.0,6.166666666666667,7.166666666666667,6.666666666666667,8.0,7.0,7.0,9.166666666666666,7.333333333333333,6.333333333333333,7.0,7.5
4,Adria,aggressive_trade,True,3584.0,8.0,10.5,9.0,10.25,10.75,13.75,9.25,6.75,6.5,10.0,9.5
5,Adria,random_trade,False,0.0,1.7,2.3,3.4,2.7,3.1,2.8,3.4,2.9,3.3,2.3,2.6
6,Adria,aggressive_trade,False,0.0,9.166666666666666,7.666666666666667,8.5,10.333333333333334,6.666666666666667,8.0,7.0,7.166666666666667,6.0,9.5,8.0
6,Adria,aggressive_trade,True,4261.25,7.75,8.5,10.25,9.25,9.75,9.75,6.5,10.75,11.25,8.0,9.0
7,Adria,aggressive_trade,False,0.0,6.0,6.833333333333333,6.5,7.5,7.333333333333333,8.166666666666666,6.5,7.833333333333333,6.833333333333333,10.0,7.166666666666667
7,Adria,aggressive_trade,True,3580.75,8.0,9.25,6.0,9.25,8.25,9.75,9.5,9.5,7.0,11.0,10.75
8,Adria,aggressive_trade,False,0.0,6.0,7.0,8.333333333333334,9.333333333333334,4.333333333333333,9.333333333333334,7.666666666666667,7.0,6.0,6.0,4.0
8,Adria,aggressive_trade,True,2401.4285714285716,10.285714285714286,9.571428571428571,8.428571428571429,8.857142857142858,8.714285714285714,9.428571428571429,9.571428571428571,7.428571428571429,9.428571428571429,8.571428571428571,7.571428571428571
9,Adria,random_trade,False,0.0,2.5,3.1,3.1,2.2,3.6,2.6,3.7,2.7,1.9,2.9,3.4
10,Adria,aggressive_trade,False,0.0,8.0,9.5,6.25,7.5,7.75,5.25,7.5,10.0,7.75,7.25,8.0
10,Adria,aggressive_trade,True,3522.0,7.666666666666667,10.666666666666666,8.666666666666666,9.666666666666666,9.666666666666666,9.0,10.333333333333334,8.166666666666666,10.166666666666666,9.166666666666666,8.5
11,Aegean,random_trade,False,0.0,2.0,2.9,3.4,3.4,2.7,3.3,2.9,2.6,2.7,3.2,3.3
12,Aegean,random_trade,False,0.0,3.5,3.1,2.2,3.1,3.3,2.4,2.5,2.7,2.6,3.4,3.4
13,Aegean,random_trade,False,0.0,2.6,2.7,3.7,2.8,3.5,3.8,3.1,3.2,2.1,2.7,3.3
14,Aegean,random_trade,False,0.0,2.7,2.7,4.2,2.5,2.0,2.5,2.7,2.7,2.6,2.8,3.4
15,Aegean,conservative_trade,False,0.0,1.8,1.3,1.5,1.3,1.2,1.6,1.7,1.9,1.5,2.2,1.9
16,Aegean,conservative_trade,False,0.0,1.2,1.0,1.1,1.9,2.1,2.1,1.1,1.3,2.2,1.5,1.4
17,Aegean,conservative_trade,False,0.0,2.0,1.5,1.8,1.0,2.6,1.4,0.8,1.6,1.5,1.5,1.7
18,Aegean,conservative_trade,False,0.0,1.4,1.3,2.5,1.7,2.1,1.6,1.0,1.8,1.0,1.9,1.4
19,Aegean,conservative_trade,False,0.0,1.9,2.3,1.7,2.3,1.6,0.6,1.8,1.3,1.3,1.6,1.7
20,Aegean,conservative_trade,False,0.0,1.5,1.5,1.3,2.3,1.3,1.4,2.2,1.6,1.5,1.4,1.7
21,Baetica,conservative_trade,False,0.0,2.1,1.3,2.0,2.0,1.6,1.6,1.4,1.7,1.0,1.4,1.5
22,Baetica,conservative_trade,False,0.0,0.9,0.8,2.4,1.1,1.9,1.4,0.9,1.7,2.2,1.7,2.5
23,Baetica,conservative_trade,False,0.0,2.1,1.7,1.1,1.6,2.1,1.5,1.4,1.7,1.3,1.1,1.7
24,Baetica,aggressive_trade,False,0.0,6.25,8.75,8.75,7.25,8.5,3.5,11.0,7.5,7.25,6.75,7.25
24,Baetica,aggressive_trade,True,2845.3333333333335,8.166666666666666,7.5,11.333333333333334,8.333333333333334,10.666666666666666,6.166666666666667,9.0,8.5,9.166666666666666,10.0,10.0
25,Baetica,aggressive_trade,False,0.0,4.333333333333333,6.333333333333333,6.333333333333333,9.0,5.666666666666667,8.0,8.666666666666666,3.3333333333333335,6.0,11.333333333333334,10.0
25,Baetica,aggressive_trade,True,1655.142857142857,9.428571428571429,10.0,7.714285714285714,7.857142857142857,7.285714285714286,8.571428571428571,8.285714285714286,10.0,8.857142857142858,10.285714285714286,9.571428571428571
26,Baetica,conservative_trade,False,0.0,1.8,1.5,1.7,1.8,0.9,1.3,2.4,1.3,1.8,1.7,1.5
27,Baetica,aggressive_trade,False,0.0,1.0,8.0,5.0,11.0,6.0,5.0,0.0,4.0,5.0,9.0,4.0
27,Baetica,aggressive_trade,True,2993.4444444444443,6.777777777777778,9.444444444444445,9.333333333333334,7.333333333333333,8.88888888888889,8.222222222222221,9.555555555555555,11.777777777777779,9.444444444444445,7.777777777777778,10.88888888888889
28,Baetica,aggressive_trade,False,0.0,7.6,9.2,6.8,8.0,7.4,8.4,7.4,5.2,7.4,6.4,7.6
28,Baetica,aggressive_trade,True,2953.2,10.4,10.8,7.2,9.0,9.4,6.2,10.2,10.4,10.0,9.8,8.4
29,Baetica,random_trade,False,0.0,3.5,2.6,2.9,2.9,4.1,3.3,2.7,2.3,2.7,3.7,3.6
30,Baetica,conservative_trade,False,0.0,2.0,0.6,1.4,1.4,1.6,1.7,1.0,2.2,2.0,1.4,1.1
31,Eastern Mediterranean,aggressive_trade,False,0.0,9.0,8.166666666666666,7.5,8.666666666666666,9.333333333333334,9.0,7.5,7.666666666666667,8.166666666666666,7.166666666666667,7.166666666666667
31,Eastern Mediterranean,aggressive_trade,True,2008.75,10.75,8.5,8.5,8.0,10.0,10.0,9.5,6.5,7.25,10.25,11.25
32,Eastern Mediterranean,aggressive_trade,False,0.0,7.25,8.5,4.5,7.75,10.0,9.0,8.25,9.25,8.25,6.0,11.25
32,Eastern Mediterranean,aggressive_trade,True,1794.0,10.5,6.666666666666667,8.166666666666666,9.833333333333334,13.166666666666666,7.833333333333333,10.0,10.333333333333334,7.166666666666667,8.833333333333334,7.0
33,Eastern Mediterranean,random_trade,False,0.0,2.6,3.9,2.5,3.1,3.3,4.0,3.1,2.7,3.3,3.2,3.0
34,Eastern Mediterranean,aggressive_trade,False,0.0,8.571428571428571,8.857142857142858,6.142857142857143,6.428571428571429,8.571428571428571,9.285714285714286,7.142857142857143,8.0,8.142857142857142,6.571428571428571,4.571428571428571
34,Eastern Mediterranean,aggressive_trade,True,1815.0,10.666666666666666,9.666666666666666,7.666666666666667,8.333333333333334,8.0,9.0,9.333333333333334,10.333333333333334,8.666666666666666,8.333333333333334,8.666666666666666
35,Eastern Mediterranean,conservative_trade,False,0.0,1.4,1.2,1.7,1.5,1.8,1.8,1.1,1.7,2.1,2.4,1.2
36,Eastern Mediterranean,conservative_trade,False,0.0,1.2,1.6,1.3,1.6,1.3,1.6,2.0,1.5,1.4,1.8,1.7
37,Eastern Mediterranean,aggressive_trade,False,0.0,7.75,7.25,6.75,8.75,7.25,6.75,7.25,8.75,9.0,6.75,8.75
37,Eastern Mediterranean,aggressive_trade,True,1814.8333333333333,9.333333333333334,6.0,10.5,10.5,11.333333333333334,8.833333333333334,5.5,9.833333333333334,9.666666666666666,8.0,7.166666666666667
38,Eastern Mediterranean,aggressive_trade,False,0.0,7.6,5.4,7.8,6.6,8.2,9.0,5.2,8.2,6.8,6.2,7.2
38,Eastern Mediterranean,aggressive_trade,True,1762.8,10.0,8.8,8.2,9.8,8.8,8.8,10.8,7.2,8.2,6.6,10.4
39,Eastern Mediterranean,random_trade,False,0.0,3.4,2.6,4.1,3.3,3.1,3.3,3.6,2.5,2.5,2.7,2.9
40,Eastern Mediterranean,aggressive_trade,False,0.0,6.333333333333333,5.166666666666667,8.166666666666666,7.333333333333333,7.166666666666667,6.5,8.5,6.5,7.0,8.0,8.666666666666666
40,Eastern Mediterranean,aggressive_trade,True,2164.5,8.75,6.0,9.25,10.75,8.0,9.5,8.5,9.0,8.25,12.25,8.75
41,Egypt,aggressive_trade,False,0.0,7.2,7.2,6.2,8.0,5.4,8.4,6.8,7.8,6.6,10.2,9.4
41,Egypt,aggressive_trade,True,2812.4,10.2,7.4,8.8,9.6,8.2,10.6,9.8,8.0,10.0,7.2,8.4
42,Egypt,random_trade,False,0.0,3.4,2.6,2.5,2.8,2.1,3.3,2.9,2.9,3.3,1.9,2.8
43,Egypt,conservative_trade,False,0.0,1.0,2.1,2.3,1.7,1.6,1.9,1.1,1.3,1.4,1.5,1.3
44,Egypt,conservative_trade,False,0.0,0.9,1.4,1.6,1.9,2.0,2.0,1.7,1.1,1.2,1.4,1.7
45,Egypt,random_trade,False,0.0,4.3,2.3,2.6,3.1,2.9,3.1,2.5,2.1,3.3,3.0,4.2
46,Egypt,random_trade,False,0.0,2.5,2.3,3.6,3.4,2.9,2.9,3.2,2.2,2.6,3.0,2.5
47,Egypt,conservative_trade,False,0.0,1.0,1.9,1.7,1.2,1.0,1.7,2.0,1.6,2.1,1.7,1.6
48,Egypt,aggressive_trade,False,0.0,7.75,8.25,9.0,6.25,7.5,9.75,6.75,9.25,6.5,7.5,8.25
48,Egypt,aggressive_trade,True,3149.1666666666665,10.5,7.5,9.0,9.166666666666666,5.5,12.333333333333334,8.833333333333334,8.333333333333334,9.166666666666666,7.0,10.833333333333334
49,Egypt,conservative_trade,False,0.0,1.5,1.8,2.0,2.4,1.8,1.8,1.0,0.8,1.3,1.2,2.2
50,Egypt,conservative_trade,False,0.0,1.9,2.2,1.1,0.8,1.9,0.9,1.4,2.2,2.2,1.4,1.5
51,Gallia,aggressive_trade,False,0.0,7.0,12.0,7.0,3.0,7.0,3.0,8.0,2.0,6.0,6.0,10.0
51,Gallia,aggressive_trade,True,3120.4444444444443,10.444444444444445,8.666666666666666,10.777777777777779,11.333333333333334,8.555555555555555,7.777777777777778,7.888888888888889,9.777777777777779,8.777777777777779,8.333333333333334,7.888888888888889
52,Gallia,aggressive_trade,False,0.0,7.5,7.0,7.25,9.75,7.0,7.25,8.5,6.25,8.0,9.0,7.25
52,Gallia,aggressive_trade,True,3576.8333333333335,9.0,10.166666666666666,9.5,7.666666666666667,9.333333333333334,6.5,7.666666666666667,10.333333333333334,7.5,9.0,9.833333333333334
53,Gallia,aggressive_trade,False,0.0,16.0,12.0,9.0,10.0,5.0,9.0,7.0,2.0,4.0,7.0,5.0
53,Gallia,aggressive_trade,True,2607.777777777778,7.888888888888889,9.444444444444445,8.11111111111111,11.444444444444445,8.555555555555555,10.444444444444445,8.444444444444445,7.444444444444445,9.777777777777779,8.88888888888889,8.444444444444445
54,Gallia,random_trade,False,0.0,2.9,3.0,3.0,4.1,3.2,2.2,3.6,2.5,3.5,2.4,2.9
55,Gallia,conservative_trade,False,0.0,2.2,1.6,1.5,1.4,1.3,1.8,1.3,1.6,1.5,2.0,1.8
56,Gallia,random_trade,False,0.0,3.5,3.3,3.1,1.8,3.8,2.4,2.1,3.2,2.6,3.7,2.8
57,Gallia,random_trade,False,0.0,2.5,2.2,3.3,3.3,2.3,2.9,1.9,3.8,3.0,3.5,2.4
58,Gallia,random_trade,False,0.0,2.4,3.2,2.2,3.3,3.4,3.2,3.5,2.8,3.3,3.0,2.9
59,Gallia,conservative_trade,False,0.0,1.6,1.3,1.5,1.1,1.8,1.5,1.4,1.0,2.1,2.0,1.9
60,Gallia,random_trade,False,0.0,3.6,2.5,2.0,2.1,3.5,2.7,2.7,3.2,3.0,2.8,2.9
61,Italy,conservative_trade,False,0.0,2.2,0.7,1.6,1.7,1.4,2.2,1.8,1.2,2.2,1.8,1.2
62,Italy,random_trade,False,0.0,2.6,3.0,2.4,2.9,3.6,3.5,3.4,2.6,3.1,3.3,3.4
63,Italy,random_trade,False,0.0,4.6,4.0,2.2,1.5,2.4,3.9,3.0,2.9,2.7,1.3,2.7
64,Italy,conservative_trade,False,0.0,2.2,1.9,1.5,1.2,1.2,1.3,1.1,1.6,1.6,1.5,1.9
65,Italy,conservative_trade,False,0.0,1.9,1.8,1.4,1.5,1.3,1.5,1.4,1.8,1.2,1.8,1.9
66,Italy,random_trade,False,0.0,3.9,2.3,3.3,3.1,3.8,2.5,2.0,3.7,4.6,2.6,2.8
67,Italy,aggressive_trade,False,0.0,9.0,6.0,7.0,7.0,9.0,5.0,9.0,11.0,6.0,2.0,10.0
67,Italy,aggressive_trade,True,2217.222222222222,11.11111111111111,8.11111111111111,9.11111111111111,10.333333333333334,8.0,8.88888888888889,8.444444444444445,9.555555555555555,8.11111111111111,7.222222222222222,10.222222222222221
68,Italy,conservative_trade,False,0.0,2.2,1.3,1.2,2.6,1.7,2.0,1.4,1.5,1.0,2.0,0.9
69,Italy,conservative_trade,False,0.0,0.7,1.2,1.1,1.5,2.6,1.0,1.9,1.5,1.4,1.9,1.8
70,Italy,random_trade,False,0.0,2.5,3.4,3.2,2.8,3.8,2.7,2.6,3.6,2.7,3.3,3.0
71,Iberian Peninsula,random_trade,False,0.0,3.1,2.3,2.8,1.8,3.1,3.0,3.3,3.4,3.5,3.3,2.3
72,Iberian Peninsula,conservative_trade,False,0.0,0.8,2.2,0.9,1.5,1.9,1.8,1.6,1.3,1.6,1.7,1.4
73,Iberian Peninsula,aggressive_trade,False,0.0,7.285714285714286,8.428571428571429,7.0,8.0,5.714285714285714,9.285714285714286,5.142857142857143,7.857142857142857,7.571428571428571,9.571428571428571,5.714285714285714
73,Iberian Peninsula,aggressive_trade,True,3259.0,5.0,7.333333333333333,10.333333333333334,10.0,9.333333333333334,10.666666666666666,8.666666666666666,9.666666666666666,12.666666666666666,6.333333333333333,9.0
74,Iberian Peninsula,random_trade,False,0.0,3.3,3.1,2.1,3.6,2.2,3.7,3.8,2.9,3.1,1.8,3.4
75,Iberian Peninsula,random_trade,False,0.0,3.4,2.7,3.2,2.8,2.7,1.8,3.7,2.5,2.6,1.9,2.9
76,Iberian Peninsula,aggressive_trade,False,0.0,8.0,4.0,7.0,7.0,7.0,10.0,9.0,11.0,8.0,10.0,10.0
76,Iberian Peninsula,aggressive_trade,True,2867.222222222222,7.333333333333333,10.555555555555555,10.666666666666666,9.222222222222221,8.777777777777779,7.777777777777778,9.777777777777779,9.555555555555555,8.555555555555555,9.333333333333334,8.555555555555555
77,Iberian Peninsula,random_trade,False,0.0,2.6,3.8,3.0,3.3,2.6,3.8,2.7,2.9,3.3,2.6,3.6
78,Iberian Peninsula,random_trade,False,0.0,2.5,2.1,2.1,4.1,2.7,2.3,2.7,3.3,3.3,4.2,3.3
79,Iberian Peninsula,aggressive_trade,False,0.0,7.0,10.666666666666666,8.666666666666666,9.333333333333334,5.666666666666667,7.0,9.0,8.0,7.666666666666667,7.333333333333333,6.666666666666667
79,Iberian Peninsula,aggressive_trade,True,2224.4285714285716,8.714285714285714,7.857142857142857,7.142857142857143,9.571428571428571,10.571428571428571,11.285714285714286,9.142857142857142,11.0,9.0,7.142857142857143,9.0
80,Iberian Peninsula,random_trade,False,0.0,2.2,3.0,2.6,2.3,3.1,3.0,3.6,3.6,3.4,2.8,4.1
81,North Africa,aggressive_trade,False,0.0,10.25,8.0,6.75,10.25,6.0,6.25,7.75,6.75,8.75,5.75,8.75
81,North Africa,aggressive_trade,True,2529.0,8.5,8.0,10.0,8.5,9.333333333333334,6.5,7.833333333333333,9.333333333333334,9.833333333333334,10.166666666666666,10.0
82,North Africa,conservative_trade,False,0.0,1.7,1.3,2.0,1.9,1.2,1.6,1.3,1.5,1.2,2.4,1.0
83,North Africa,random_trade,False,0.0,3.6,3.8,2.4,3.2,1.9,3.3,3.9,3.4,2.4,3.6,2.1
84,North Africa,conservative_trade,False,0.0,1.2,1.3,1.8,1.7,1.6,1.8,1.6,1.3,1.9,1.4,1.8
85,North Africa,conservative_trade,False,0.0,1.1,2.2,1.0,1.5,0.8,1.4,1.6,1.5,1.8,2.3,1.6
86,North Africa,conservative_trade,False,0.0,1.9,1.7,2.5,1.6,1.5,1.4,1.6,1.6,1.9,1.6,1.3
87,North Africa,random_trade,False,0.0,2.8,4.3,2.3,2.1,3.0,3.6,2.5,3.8,2.9,2.6,2.5
88,North Africa,aggressive_trade,False,0.0,14.0,10.0,3.0,6.0,2.0,14.0,13.0,7.0,12.0,4.0,9.0
88,North Africa,aggressive_trade,True,2897.0,9.444444444444445,9.88888888888889,8.88888888888889,7.888888888888889,8.777777777777779,8.222222222222221,10.444444444444445,8.444444444444445,9.222222222222221,8.88888888888889,8.0
89,North Africa,aggressive_trade,False,0.0,7.0,8.2,5.0,8.2,9.4,8.6,7.2,9.4,7.6,8.8,8.0
89,North Africa,aggressive_trade,True,3987.0,7.8,8.2,8.2,8.4,9.8,9.2,9.2,9.8,9.8,7.4,9.6
90,North Africa,aggressive_trade,False,0.0,10.0,8.0,9.5,8.25,7.0,7.0,6.0,7.75,7.25,5.75,7.0
90,North Africa,aggressive_trade,True,2704.5,7.166666666666667,7.833333333333333,10.5,7.166666666666667,7.5,9.833333333333334,9.5,9.0,9.833333333333334,8.166666666666666,10.5
91,Tarraconensis,conservative_trade,False,0.0,1.1,2.1,1.6,2.1,2.0,1.3,1.2,1.3,2.0,1.0,1.8
92,Tarraconensis,aggressive_trade,False,0.0,11.5,6.5,6.0,7.0,5.0,7.5,9.0,7.0,5.0,11.5,8.5
92,Tarraconensis,aggressive_trade,True,3391.0,7.75,9.25,6.875,8.875,9.25,8.875,9.25,9.625,10.625,9.5,9.0
93,Tarraconensis,conservative_trade,False,0.0,2.1,1.6,2.1,1.9,1.2,1.7,1.1,1.7,1.7,1.2,1.5
94,Tarraconensis,conservative_trade,False,0.0,1.7,2.1,2.0,2.4,1.1,1.6,1.8,1.7,1.5,0.9,1.3
95,Tarraconensis,random_trade,False,0.0,2.7,3.0,2.7,2.3,2.6,2.7,3.4,2.8,4.0,2.9,2.1
96,Tarraconensis,conservative_trade,False,0.0,1.9,1.9,2.3,1.7,1.9,1.1,1.6,1.8,0.7,0.6,1.7
97,Tarraconensis,conservative_trade,False,0.0,1.7,1.3,1.8,1.5,1.3,1.4,1.5,1.5,1.7,1.9,1.5
98,Tarraconensis,random_trade,False,0.0,2.9,3.0,3.0,2.9,3.7,3.3,2.4,3.2,2.0,3.8,2.9
99,Tarraconensis,conservative_trade,False,0.0,2.2,2.0,1.7,1.9,0.5,1.3,1.7,2.0,1.5,1.5,1.5
100,Tarraconensis,conservative_trade,False,0.0,1.3,2.0,1.9,2.0,1.3,1.6,1.3,1.4,1.6,1.7,1.2
101,Western Mediterranean,random_trade,False,0.0,2.7,3.1,3.0,2.4,3.5,2.6,3.5,2.9,2.8,3.3,2.6
102,Western Mediterranean,aggressive_trade,False,0.0,9.333333333333334,7.666666666666667,7.333333333333333,7.666666666666667,12.333333333333334,10.666666666666666,6.333333333333333,6.666666666666667,4.666666666666667,6.666666666666667,12.0
102,Western Mediterranean,aggressive_trade,True,2587.285714285714,11.142857142857142,8.285714285714286,8.0,8.142857142857142,9.285714285714286,9.0,12.142857142857142,8.428571428571429,7.714285714285714,8.571428571428571,6.857142857142857
103,Western Mediterranean,aggressive_trade,False,0.0,4.333333333333333,8.0,10.666666666666666,7.0,10.0,6.666666666666667,7.666666666666667,4.0,12.333333333333334,8.333333333333334,5.666666666666667
103,Western Mediterranean,aggressive_trade,True,2937.1428571428573,7.0,9.714285714285714,10.142857142857142,9.714285714285714,9.857142857142858,8.714285714285714,8.285714285714286,6.142857142857143,11.285714285714286,9.857142857142858,7.0
104,Western Mediterranean,random_trade,False,0.0,3.7,3.7,3.0,2.3,2.8,2.8,3.6,2.0,3.3,3.4,2.6
105,Western Mediterranean,conservative_trade,False,0.0,1.2,1.3,2.1,1.7,1.4,2.4,1.2,1.2,1.4,0.9,2.5
106,Western Mediterranean,random_trade,False,0.0,2.8,2.8,2.9,1.9,2.1,2.5,2.2,3.5,2.5,3.2,3.0
107,Western Mediterranean,conservative_trade,False,0.0,0.8,1.5,1.7,1.5,2.2,1.6,1.2,1.6,1.4,1.5,1.7
108,Western Mediterranean,conservative_trade,False,0.0,2.2,1.3,1.7,1.8,1.4,1.6,1.8,1.2,2.5,0.5,1.3
109,Western Mediterranean,conservative_trade,False,0.0,1.2,1.8,2.1,1.5,1.4,1.5,0.9,2.3,2.1,1.5,1.2
110,Western Mediterranean,conservative_trade,False,0.0,1.8,1.2,1.8,1.3,0.8,1.8,1.4,2.0,1.9,1.6,1.6
